Model,Prompt Type,Exact Match,Component Match,Execution Accuracy,Average Latency (s),95th Percentile Latency (s),GPU Memory Peak (GB)
codellama7B,zero_shot,0.15,0.7283687266895471,0.1833333333333333,4.228941483233325,5.966652216799973,18.951587328
deepseekcoder,zero_shot,0.2,0.7362850772521824,0.1833333333333333,4.35255908691668,6.013601940600108,18.918800896
llama38B,zero_shot,0.4166666666666667,0.9005143253432725,0.4166666666666667,3.7161778169333273,5.639358559700031,23.314790912
