Model,Prompt Type,Exact Match,Component Match,Execution Accuracy,Average Latency (s),95th Percentile Latency (s),GPU Memory Peak (GB)
codellama7B,zero_shot,0.6166666666666667,0.9200039972211024,0.6166666666666667,4.790387201999992,7.458945294400118,21.210714112
deepseekcoder,zero_shot,0.6333333333333333,0.9420933730012676,0.6666666666666666,4.909604495283327,7.486287503849965,21.109582336
llama38B,zero_shot,0.8,0.9593652628331422,0.7666666666666667,3.786880889266604,6.191570579749529,24.807896064
