model_name,prompt_strategy,exact_match,component_match,execution_accuracy,avg_latency_s,p95_latency_s,gpu_mem_peak
llama3_8b_inst,zero_shot,0.4166666666666667,0.9005143253432725,0.4166666666666667,3.6120306546166736,5.481631420949968,25.47844608
llama3_8b_inst,retrieved_few_shot,0.4666666666666667,0.926830530337109,0.5333333333333333,6.650763052766676,18.45497491210015,25.47844608
deepseek_coder_inst,zero_shot,0.2,0.7539169483767006,0.1833333333333333,4.224063950683338,6.152232177899913,25.328430592
deepseek_coder_inst,retrieved_few_shot,0.25,0.8324296244404603,0.2666666666666666,6.582243018000001,9.657479357949889,25.328430592
