model_name,prompt_strategy,exact_match,component_match,execution_accuracy,avg_latency_s,p95_latency_s,gpu_mem_peak
llama3_8b_inst,zero_shot,0.8166666666666667,0.9606473141151932,0.7833333333333333,3.831136591733328,5.952437626950082,24.548034048
llama3_8b_inst,retrieved_few_shot,0.7166666666666667,0.9727570696847012,0.7666666666666667,10.427995076299997,18.80874648604996,24.548034048
deepseek_coder_inst,zero_shot,0.6333333333333333,0.924092993822483,0.65,4.901832550666671,7.008072107749965,25.389313536
deepseek_coder_inst,retrieved_few_shot,0.6666666666666666,0.942596474990438,0.7,6.829582987899986,10.27609259410015,25.389313536
